SellerG
@Realty                    1.224000e+06
ASL                        4.885500e+06
Abercromby's               4.374000e+07
Ace                        1.440000e+06
Alexkarbon                 3.465559e+07
Allens                     2.213400e+06
Anderson                   2.410500e+06
Appleby                    1.592000e+06
Aquire                     5.060000e+05
Area                       7.700000e+05
Ascend                     3.380100e+06
Ash                        8.100000e+05
Asset                      7.825000e+05
Assisi                     4.186000e+06
Australian                 1.597000e+06
Barlow                     2.573700e+07
Barry                      8.859425e+08
Bayside                    2.730000e+06
Bekdon                     7.551500e+06
Beller                     1.528250e+07
Bells                      3.038450e+07
Besser                     1.225000e+06
Better                     4.800000e+05
Biggin                     4.002790e+08
Blue                       2.180000e+06
Boutique                   7.500000e+05
Bowman                     9.450000e+05
Brace                      6.246000e+06
Brad                       2.858362e+08
Buckingham                 3.881160e+07
Bullen                     4.041000e+06
Burnham                    2.614650e+07
Buxton                     7.788899e+08
Buxton/Advantage           5.500000e+05
Buxton/Find                6.390000e+05
C21                        5.350800e+07
CASTRAN                    5.200000e+05
Caine                      3.122400e+07
Calder                     6.500000e+05
Carter                     7.012499e+06
Castran                    3.382100e+07
Cayzer                     6.867000e+07
Century                    1.550000e+06
Chambers                   1.382050e+07
Changing                   2.010000e+06
Charlton                   1.585100e+07
Chisholm                   7.834425e+07
Christopher                7.232000e+06
Clairmont                  8.650000e+05
Collins                    7.674250e+07
Community                  4.910000e+05
Compton                    1.841600e+06
Conquest                   1.700000e+06
Considine                  2.742000e+07
Coventry                   6.625000e+05
Craig                      1.300000e+06
Crane                      5.400000e+05
D'Aprano                   3.757000e+06
Daniel                     3.317500e+06
Darras                     2.950000e+06
Darren                     2.306950e+07
David                      2.400000e+06
Del                        3.267000e+06
Dingle                     1.352850e+07
Direct                     7.000000e+05
Dixon                      2.232000e+06
Domain                     5.235500e+06
Douglas                    6.429010e+07
Edward                     1.989500e+07
Elite                      2.692000e+06
Eview                      4.065124e+07
FN                         1.266250e+07
First                      3.236000e+06
Fletchers                  3.951197e+08
Fletchers/One              1.800000e+06
Follett                    1.820000e+06
Frank                      3.542910e+07
Free                       9.300000e+05
GL                         1.354100e+07
Galldon                    1.167000e+06
Gardiner                   1.728000e+06
Garvey                     4.320000e+06
Gary                       1.671684e+08
Geoff                      6.810000e+05
Grantham                   1.290000e+06
Greg                       2.940030e+08
Gunn&Co                    1.297025e+07
HAR                        4.818300e+07
Hall                       1.169900e+07
Ham                        2.954500e+06
Harcourts                  1.328355e+08
Harrington                 2.022000e+07
Haughton                   2.146900e+07
Hayeswinckle               3.900000e+05
